file,lat,lon,rr,year,month,day,hour,minute,second
polPhs_PAZ1.2018.134.21.48.G25_2010.2640_V05.nc,-59.06,120.52,3.78,2018,5,14,21,48,6
polPhs_PAZ1.2018.134.20.12.G20_2010.2640_V05.nc,-54.32,121.55,3.35,2018,5,14,20,12,21
polPhs_PAZ1.2018.134.13.48.G16_2010.2640_V05.nc,-41.02,-111.86,0.41,2018,5,14,13,48,23
polPhs_PAZ1.2018.134.12.00.G25_2010.2640_V05.nc,7.39,-79.07,4.69,2018,5,14,12,0,15
polPhs_PAZ1.2018.134.00.12.G30_2010.2640_V05.nc,6.11,-82.25,1.12,2018,5,14,0,12,17
polPhs_PAZ1.2018.134.16.58.G05_2010.2640_V05.nc,-40.66,174.68,0.66,2018,5,14,16,58,37
polPhs_PAZ1.2018.134.08.50.G19_2010.2640_V05.nc,1.16,-24.54,0.44,2018,5,14,8,49,44
polPhs_PAZ1.2018.134.04.15.G07_2010.2640_V05.nc,-22.17,24.38,2.18,2018,5,14,4,14,56
polPhs_PAZ1.2018.134.14.21.G17_2010.2640_V05.nc,-4.93,72.00,0.44,2018,5,14,14,21,23
polPhs_PAZ1.2018.134.06.20.G06_2010.2640_V05.nc,-39.34,166.64,0.74,2018,5,14,6,20,19
polPhs_PAZ1.2018.136.03.48.G23_2010.2640_V05.nc,-63.08,57.83,0.25,2018,5,16,3,48,26
polPhs_PAZ1.2018.136.07.38.G23_2010.2640_V05.nc,25.04,148.12,0.72,2018,5,16,7,38,15
polPhs_PAZ1.2018.136.00.13.G06_2010.2640_V05.nc,39.87,78.62,0.12,2018,5,16,0,13,46
polPhs_PAZ1.2018.136.12.02.G27_2010.2640_V05.nc,-52.49,92.36,0.43,2018,5,16,12,2,30
polPhs_PAZ1.2018.136.12.52.G25_2010.2640_V05.nc,39.53,-85.92,0.37,2018,5,16,12,52,38
polPhs_PAZ1.2018.136.19.17.G10_2010.2640_V05.nc,15.33,146.36,1.73,2018,5,16,19,17,21
polPhs_PAZ1.2018.136.12.32.G24_2010.2640_V05.nc,58.44,33.31,1.79,2018,5,16,12,32,15
polPhs_PAZ1.2018.136.23.14.G08_2010.2640_V05.nc,-13.37,-62.35,0.85,2018,5,16,23,14,46
polPhs_PAZ1.2018.136.08.30.G15_2010.2640_V05.nc,-48.86,-28.16,1.18,2018,5,16,8,30,43
polPhs_PAZ1.2018.136.21.46.G05_2010.2640_V05.nc,9.18,-73.63,1.31,2018,5,16,21,46,9
polPhs_PAZ1.2018.136.09.05.G16_2010.2640_V05.nc,-1.65,143.79,0.15,2018,5,16,9,5,15
polPhs_PAZ1.2018.136.21.52.G07_2010.2640_V05.nc,24.26,-62.39,0.11,2018,5,16,21,51,50
polPhs_PAZ1.2018.136.08.15.G17_2010.2640_V05.nc,4.98,-16.76,0.92,2018,5,16,8,14,54
polPhs_PAZ1.2018.136.04.34.G31_2010.2640_V05.nc,45.74,176.78,0.14,2018,5,16,4,34,10
polPhs_PAZ1.2018.137.01.38.G31_2010.2640_V05.nc,4.28,82.14,7.20,2018,5,17,1,38,31
polPhs_PAZ1.2018.137.18.59.G30_2010.2640_V05.nc,11.00,-175.44,0.21,2018,5,17,18,59,39
polPhs_PAZ1.2018.137.20.29.G18_2010.2640_V05.nc,40.43,133.81,0.79,2018,5,17,20,29,23
polPhs_PAZ1.2018.137.22.04.G19_2010.2640_V05.nc,39.25,131.44,1.77,2018,5,17,22,4,40
polPhs_PAZ1.2018.137.17.19.G27_2010.2640_V05.nc,43.43,-159.38,0.18,2018,5,17,17,19,40
polPhs_PAZ1.2018.137.10.06.G26_2010.2640_V05.nc,-63.67,148.84,0.14,2018,5,17,10,6,25
polPhs_PAZ1.2018.137.12.41.G29_2010.2640_V05.nc,11.69,-83.48,5.62,2018,5,17,12,40,54
polPhs_PAZ1.2018.137.20.38.G19_2010.2640_V05.nc,-2.09,157.83,0.58,2018,5,17,20,37,54
polPhs_PAZ1.2018.137.10.31.G30_2010.2640_V05.nc,27.66,105.65,1.20,2018,5,17,10,31,41
polPhs_PAZ1.2018.137.09.24.G11_2010.2640_V05.nc,39.68,-67.04,0.24,2018,5,17,9,24,17
polPhs_PAZ1.2018.137.13.31.G10_2010.2640_V05.nc,-3.89,51.88,15.06,2018,5,17,13,31,0
polPhs_PAZ1.2018.137.08.43.G26_2010.2640_V05.nc,-19.61,152.62,0.17,2018,5,17,8,43,4
polPhs_PAZ1.2018.137.07.26.G16_2010.2640_V05.nc,47.09,161.16,0.11,2018,5,17,7,26,30
polPhs_PAZ1.2018.137.17.36.G13_2010.2640_V05.nc,-20.24,174.22,0.11,2018,5,17,17,36,26
polPhs_PAZ1.2018.137.21.26.G05_2010.2640_V05.nc,-1.38,-67.36,1.73,2018,5,17,21,26,21
polPhs_PAZ1.2018.137.21.43.G23_2010.2640_V05.nc,66.94,-27.02,0.12,2018,5,17,21,43,38
polPhs_PAZ1.2018.137.00.35.G01_2010.2640_V05.nc,-57.72,-53.09,0.81,2018,5,17,0,35,25
polPhs_PAZ1.2018.137.04.18.G31_2010.2640_V05.nc,50.26,174.46,0.38,2018,5,17,4,18,8
